Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Turkmenistan,1829697,1890000,1949425,2008148,2066889,2126749,2188499,2252386,2318070,2385039,2452528,2520002,2587417,2655036,2723006,2791575,2861000,2931343,3002785,3075867,3151262,3229499,3310059,3392823,3479088,3570558,3668000,3772350,3881973,3991917,4095512,4188010,4267690,4335991,4395293,4449427,4501419,4551737,4600093,4647912,4696771,4747839,4801847,4858843,4918396,4979672,5041995,5105301,5169660,5234640
Turks and Caicos Islands,5705,5669,5629,5589,5563,5573,5632,5750,5924,6132,6346,6546,6723,6886,7057,7262,7525,7855,8244,8670,9096,9501,9872,10222,10587,11018,11549,12216,13005,13848,14644,15333,15859,16275,16763,17573,18873,20728,23044,25625,28191,30531,32590,34404,35960,37271,38354,39184,39761,40159
Tuvalu,6687,6819,6935,7037,7128,7213,7296,7379,7459,7538,7613,7685,7752,7816,7883,7959,8051,8160,8284,8413,8537,8648,8741,8821,8889,8949,9004,9056,9103,9148,9188,9227,9264,9298,9334,9374,9419,9471,9530,9590,9646,9694,9732,9762,9786,9806,9827,9847,9867,9888
Uganda,7746988,8014352,8290837,8576166,8866641,9157569,9445932,9730174,10012125,10296444,10589763,10897136,11221247,11561734,11917048,12284315,12662131,13049012,13447769,13866291,14315090,14801113,15327718,15891143,16482365,17088426,17699717,18314701,18935726,19561967,20193432,20831075,21473592,22123185,22788843,23482533,24213120,24984181,25794397,26641627,27521632,28431204,29370251,30339895,31339392,32367909,33424683,34509205,35620977,36759274
Ukraine,44868657,45340503,45779461,46187918,46573376,46947038,47316501,47685533,48050256,48401549,48726373,49015998,49266997,49484239,49677426,49860466,50043550,50227328,50408687,50589152,50769702,50949364,51128208,51301215,51455595,51574638,51644914,51666114,51637719,51546666,51377434,51121722,50773323,50342838,49860125,49366106,48891792,48448267,48032368,47643278,47275250,46923927,46591797,46282158,45991584,45715010,45448329,45190180,44940268,44696741
United Arab Emirates,134478,146387,156934,167420,180858,201308,231754,272529,322868,383152,453530,533554,624390,724684,828378,927412,1016228,1092153,1157336,1217021,1279010,1349000,1428788,1516782,1611257,1709232,1808642,1909812,2014095,2121704,2232980,2348539,2473983,2611610,2755497,2897038,3033491,3149440,3254691,3400959,3658042,4069349,4662728,5405541,6206623,6938815,7511690,7890924,8105873,8207940
United Kingdom,54006245,54349899,54666008,54954044,55212835,55443064,55645390,55819499,55964697,56081455,56170690,56234250,56273041,56290629,56295032,56296406,56303011,56317534,56341308,56379327,56436762,56516908,56622956,56753658,56902081,57058173,57214474,57369629,57525459,57681639,57838596,57997210,58156871,58318771,58488026,58671413,58874117,59097129,59339971,59604347,59891788,60202727,60538143,60896101,61270318,61652315,62035570,62417431,62798099,63177406
United States,197094531,199452508,201657141,203717833,205672498,207573866,209463865,211355529,213250350,215164616,217113584,219108358,221161377,223274855,225436004,227624232,229825004,232035086,234261242,236510688,238794274,241119752,243495805,245920994,248381577,250857751,253339097,255807342,258275919,260803255,263468980,266323717,269393632,272643340,275986072,279300030,282496310,285544778,288467308,291290823,294063120,296820296,299564470,302284564,304989064,307686729,310383948,313085380,315791284,318497630
Uruguay,2664775,2693906,2722232,2749441,2774109,2794374,2809117,2817577,2820734,2821367,2823326,2829391,2840601,2856206,2874998,2894983,2914683,2933904,2953118,2972284,2991478,3010766,3029948,3048955,3068166,3088110,3109122,3131140,3153857,3177035,3200342,3223401,3246484,3269301,3290261,3307290,3319066,3324810,3325379,3323124,3321367,3322529,3327451,3335528,3345967,3357391,3368786,3380008,3391428,3403117
Uzbekistan,9888629,10233502,10574321,10912708,11253870,11605561,11972994,12358535,12759275,13168838,13578159,13980997,14374729,14762133,15148932,15543520,15951899,16375762,16812955,17260951,17715706,18174143,18634041,19095670,19561181,20033912,20515248,21005364,21500062,21990917,22466866,22919357,23347452,23751722,24127427,24469439,24775610,25042537,25275028,25489492,25708188,25947414,26213729,26503833,26811974,27128063,27444702,27760267,28077486,28398155
Wallis et Futuna,9174,9224,9206,9133,9026,8921,8841,8792,8775,8809,8919,9118,9412,9793,10240,10728,11232,11751,12278,12778,13207,13534,13742,13843,13869,13870,13882,13914,13957,14013,14077,14146,14224,14311,14396,14462,14499,14503,14477,14424,14345,14247,14128,13989,13843,13698,13566,13450,13348,13263
Vanuatu,72131,74287,76410,78520,80672,82945,85393,88029,90831,93768,96799,99886,103031,106231,109436,112587,115641,118584,121438,124252,127097,130030,133041,136129,139368,142852,146636,150791,155270,159857,164254,168263,171783,174921,177946,181239,185074,189544,194555,199968,205561,211170,216760,222377,228041,233790,239651,245619,251674,257812
Venezuela,8759890,9067485,9375646,9686071,10003238,10333268,10680678,11045959,11428022,11827681,12245478,12681017,13135849,13607958,14088961,14567680,15036273,15490555,15932973,16370463,16813481,17269324,17740108,18222505,18711830,19201096,19685177,20162745,20635233,21103592,21569680,22034909,22499248,22962221,23424338,23886213,24348304,24810691,25273336,25736393,26199994,26664122,27128721,27593427,28057485,28519913,28979857,29436891,29890694,30340637
West Bank and Gaza,1181587,1190923,1184258,1164684,1140772,1124574,1124591,1144161,1180264,1227284,1276627,1322064,1362064,1398736,1433821,1470297,1510360,1554600,1602309,1652945,1705584,1759763,1815117,1872515,1934197,2003149,2081424,2169061,2265030,2368849,2479672,2596289,2719644,2848359,2976131,3094711,3198560,3284920,3356379,3419418,3483483,3555582,3637689,3728259,3826546,3930672,4039192,4152369,4270791,4393572
Western Sahara,46308,50938,56561,63023,69339,74168,76691,76196,73333,70287,70089,74789,85344,100766,118776,136080,150303,160677,167963,173189,178007,183630,190327,197692,205489,213285,220794,228137,235580,243167,250946,259049,267217,275674,285582,298482,315340,336758,362070,389412,416172,440469,461610,480140,496923,513367,530500,548377,566613,585270
Vietnam,38898597,39884879,40880598,41883842,42893258,43908540,44927973,45957991,46994771,48015047,48987973,49895731,50724015,51490844,52250324,53076862,54023152,55109176,56317461,57616926,58959045,60307305,61647642,62986915,64333357,65702500,67101583,68535628,69987617,71416812,72769366,74008073,75117209,76111109,77020331,77890899,78758010,79629676,80500625,81377056,82262996,83161145,84075580,85007447,85951912,86901173,87848445,88791996,89730274,90656550
Virgin Islands (U.S.),46122,49610,52624,55278,57831,60675,64070,68102,72610,77310,81802,85790,89169,92008,94399,96498,98423,100216,101827,103177,104146,104668,104698,104319,103761,103333,103253,103618,104356,105315,106260,107018,107546,107903,108132,108316,108511,108726,108933,109122,109270,109363,109401,109389,109327,109216,109056,108846,108590,108300
"Yemen, Rep.",5527652,5632206,5737000,5842868,5947698,6048704,6144992,6235264,6323380,6419984,6539217,6691425,6880620,7104782,7360655,7642329,7945180,8270681,8620116,8988432,9369068,9758220,10149222,10544972,10962489,11425336,11948209,12540234,13190192,13867656,14530275,15148172,15710211,16226938,16716850,17208494,17723186,18266008,18831819,19419710,20026117,20648643,21288070,21946990,22626595,23328214,24052514,24799880,25569263,26358020
Zambia,3430747,3537265,3647470,3761707,3880914,4006340,4138837,4278863,4426079,4579560,4737942,4900255,5066012,5235519,5409528,5589172,5775165,5967511,6165560,6368542,6575403,6785211,6998307,7214499,7431752,7647450,7860053,8067972,8272498,8478471,8692599,8919456,9161931,9418120,9682058,9945115,10201562,10449825,10693471,10938261,11192422,11462365,11750105,12055384,12379612,12723746,13088570,13474959,13883577,14314515
Zimbabwe,4279524,4422087,4568266,4718550,4874043,5036244,5206229,5385233,5573154,5768190,5967705,6170260,6374197,6581329,6797807,7032001,7289463,7571447,7874642,8194203,8523090,8855279,9189169,9523376,9852244,10169188,10469202,10748215,11005690,11244552,11469872,11684693,11891290,12086519,12261742,12405236,12509477,12575015,12607791,12612956,12597877,12570686,12529655,12481245,12451543,12473992,12571454,12754378,13013678,13327925
Åland,,,,,,,20666,,,,,,,,,,22783,,,,,,,,,,24604,,,,,,,,,,25776,26008,26257,26347,26530,26766,26923,,,,26923,,,
